Individual_Band,Site,Nest,Sex,Experiment,Treatment,Capture_Date,Age,Mass,Bill+Head,Flat_Wing,bk,Bacteria_Killing_Assay,positive,bka_date,Plasma_Analyzed,Attempt_Number,Clutch_Initiation_Date,Clutch_Size,Brood_Size_Hatching,Day6_Brood_Mass,Nest_Fate_Date,Nest_Fate,.fledged,ylaydate,Treatment2,Nestling_Band,Nestling_Banding_Date,Current_Brood_Size,Nestling_Mass,Nestling_Flat_Wing,Genetic_Mom,Genetic_Dad,Nestling_Fate,Adult_or_Nestling,temp,Unit_Box
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128638,2019-06-15,6,16,41,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128639,2019-06-15,6,16.75,41,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
232146953,Unit_1,360,F,Water,Water,2019-05-30,ASY,22.5,28.7,114,0.865245374094932,0.134754625905068,621.5,2019-05-30,Stress/1st,1,2019-05-18,5,5,NA,2019-06-29,Fledged,5,138,Water,281128406,2019-06-17,5,15.75,48,NA,NA,Fledged,Nestling,15.815972222401,Unit_1_360
232146953,Unit_1,360,F,Water,Water,2019-05-30,ASY,22.5,28.7,114,0.865245374094932,0.134754625905068,621.5,2019-05-30,Stress/1st,1,2019-05-18,5,5,NA,2019-06-29,Fledged,5,138,Water,281128407,2019-06-17,5,17.5,55,NA,NA,Fledged,Nestling,15.815972222401,Unit_1_360
232146953,Unit_1,360,F,Water,Water,2019-05-30,ASY,22.5,28.7,114,0.865245374094932,0.134754625905068,621.5,2019-05-30,Stress/1st,1,2019-05-18,5,5,NA,2019-06-29,Fledged,5,138,Water,281128408,2019-06-17,5,17.5,49,NA,NA,Fledged,Nestling,15.815972222401,Unit_1_360
232146953,Unit_1,360,F,Water,Water,2019-05-30,ASY,22.5,28.7,114,0.865245374094932,0.134754625905068,621.5,2019-05-30,Stress/1st,1,2019-05-18,5,5,NA,2019-06-29,Fledged,5,138,Water,281128409,2019-06-17,5,18,52,NA,NA,Fledged,Nestling,15.815972222401,Unit_1_360
232146953,Unit_1,360,F,Water,Water,2019-05-30,ASY,22.5,28.7,114,0.865245374094932,0.134754625905068,621.5,2019-05-30,Stress/1st,1,2019-05-18,5,5,NA,2019-06-29,Fledged,5,138,Water,281128410,2019-06-17,5,17,50,NA,NA,Fledged,Nestling,15.815972222401,Unit_1_360
262125490,Unit_1,311,F,Water,Water,2019-05-27,ASY,23,27.8,120,0.568627450980392,0.431372549019608,102,2019-05-27,Stress/1st,1,2019-05-16,5,5,NA,2019-06-28,Fledged,5,136,Water,281128620,2019-06-15,5,18.25,56.4,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_311
262125490,Unit_1,311,F,Water,Water,2019-05-27,ASY,23,27.8,120,0.568627450980392,0.431372549019608,102,2019-05-27,Stress/1st,1,2019-05-16,5,5,NA,2019-06-28,Fledged,5,136,Water,281128621,2019-06-15,5,15.75,49,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_311
262125490,Unit_1,311,F,Water,Water,2019-05-27,ASY,23,27.8,120,0.568627450980392,0.431372549019608,102,2019-05-27,Stress/1st,1,2019-05-16,5,5,NA,2019-06-28,Fledged,5,136,Water,281128622,2019-06-15,5,18.25,54,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_311
